"YYYYMMDD","hhmmss (UTC+0)","MCC","MNC","LAC","CID","Latitude","Longitude","Timezone"
20100917,175656,230,3,6,86,50.078586,14.608591,2
20100917,175856,230,3,6,87,50.084427,14.607765,2
20100917,175904,230,3,6,86,50.078586,14.608591,2
20100917,175946,230,3,6,84,50.080818,14.598075,2
20100917,180016,230,3,6,85,50.082596,14.595294,2
20100917,180119,230,3,6,88,50.093826,14.595294,2
20100917,180143,230,3,6,89,50.109412,14.587206,2
20100917,180149,230,3,6,90,50.100188,14.593874,2
20100917,180345,230,3,6,89,50.109412,14.587206,2
20100917,180427,230,3,6,91,50.106199,14.585792,2
20100917,180557,230,3,6,92,50.111245,14.586177,2
20100917,180623,230,3,6,91,50.106199,14.585792,2
20100917,180718,230,3,6,89,50.109412,14.587206,2
20100917,180816,230,3,6,90,50.100188,14.593874,2
20100917,181045,230,3,6,89,50.109412,14.587206,2
20100917,181132,230,3,6,93,50.118082,14.592445,2
